[['', 'A', 'A', ''], '']     could not be checked
[['', 'A', 'B', 'B'], 'AC']     could not be checked
[['', 'A', 'A', ''], 'AD']     could not be checked
[['', 'A', 'B', 'B'], 'BCD']     could not be checked
[['', 'A', 'AB', 'A'], 'A']     could not be checked
[['', 'A', 'AB', 'C'], 'D']     could not be checked
[['', 'A', 'AB', 'A'], 'BD']     could not be checked
[['', 'A', 'B', ''], 'ABC']     could not be checked
[['', 'A', '', 'ABC'], 'ABC']     could not be checked
[['', 'A', 'AB', ''], 'AC']     could not be checked
[['', 'A', 'A', 'ABC'], 'BCD']     could not be checked
[['', 'A', 'AB', ''], 'BCD']     could not be checked
[['', '', 'B', 'A'], 'C']     could not be checked
[['', 'A', 'B', 'ABC'], 'D']     could not be checked
[['', 'A', 'A', 'BC'], 'BCD']     could not be checked
[['', 'A', 'AB', 'ABC'], 'BC']     could not be checked
[['', 'A', 'B', 'BC'], 'AB']     could not be checked
[['', '', 'AB', 'AC'], 'A']     could not be checked
[['', '', 'AB', 'AC'], 'BD']     could not be checked
[['', 'A', 'AB', 'AC'], 'D']     could not be checked
[['', '', '', ''], 'AB']     could not be checked
[['', 'A', 'B', 'B'], '']     could not be checked
[['', 'A', 'AB', 'C'], 'AB']     could not be checked
[['', 'A', 'AB', 'A'], 'AC']     could not be checked
[['', 'A', 'B', ''], 'B']     could not be checked
[['', 'A', '', 'ABC'], 'B']     could not be checked
[['', 'A', 'AB', 'A'], 'BCD']     could not be checked
[['', 'A', 'B', ''], 'ABD']     could not be checked
[['', 'A', '', 'ABC'], 'ABD']     could not be checked
[['', 'A', 'A', 'ABC'], '']     could not be checked
[['', 'A', 'AB', ''], '']     could not be checked
[['', 'A', 'A', 'ABC'], 'AD']     could not be checked
[['', 'A', 'AB', ''], 'AD']     could not be checked
[['', 'A', 'B', 'ABC'], 'AB']     could not be checked
[['', 'A', 'A', 'BC'], '']     could not be checked
[['', 'A', 'A', 'BC'], 'AD']     could not be checked
[['', 'A', 'B', 'AC'], 'ABC']     could not be checked
[['', '', 'AB', 'ABC'], 'AB']     could not be checked
[['', 'A', 'AB', 'ABC'], 'A']     could not be checked
[['', '', 'AB', 'ABC'], 'CD']     could not be checked
[['', '', 'AB', 'AC'], 'AC']     could not be checked
[['', 'A', 'AB', 'AC'], 'AB']     could not be checked
[['', '', '', ''], 'ABC']     could not be checked
[['', 'A', 'B', 'B'], 'C']     could not be checked
[['', 'A', 'A', ''], 'D']     could not be checked
[['', 'A', 'AB', 'A'], '']     could not be checked
[['', 'A', 'AB', 'A'], 'AD']     could not be checked
[['', 'A', 'B', ''], 'BC']     could not be checked
[['', 'A', '', 'ABC'], 'BC']     could not be checked
[['', 'A', '', ''], 'ABCD']     could not be checked
[['', 'A', '', 'ABC'], 'ABCD']     could not be checked
[['', '', 'B', 'AC'], 'AC']     could not be checked
[['', '', 'B', 'AC'], 'BCD']     could not be checked
[['', 'A', 'AB', ''], 'C']     could not be checked
[['', 'A', 'B', 'AC'], 'B']     could not be checked
[['', 'A', 'B', 'AC'], 'ABD']     could not be checked
[['', '', 'AB', 'ABC'], 'ABC']     could not be checked
[['', 'A', 'A', ''], 'AB']     could not be checked
[['', 'A', '', ''], 'A']     could not be checked
[['', 'A', 'B', ''], 'A']     could not be checked
[['', 'A', 'AB', 'A'], 'C']     could not be checked
[['', 'A', '', 'ABC'], 'A']     could not be checked
[['', 'A', '', 'ABC'], 'BD']     could not be checked
[['', 'A', 'B', 'C'], 'ABC']     could not be checked
[['', '', 'B', 'AC'], '']     could not be checked
[['', '', 'B', 'AC'], 'AD']     could not be checked
Number of interesting GDAGS that could be checked is:  1
